Wall time,Step,Value
1654664782.4488518,1227679,201.85594177246094
1654664785.733873,1227759,204.66810607910156
1654664789.2194355,1227839,202.73641967773438
1654664792.6581419,1227919,206.9195556640625
1654664796.2338095,1227999,205.86512756347656
1654664799.7758672,1228079,204.01600646972656
1654664803.2824953,1228159,203.09434509277344
1654664806.743999,1228239,202.96746826171875
1654664810.3417017,1228319,204.6114959716797
1654664813.8786154,1228399,203.97657775878906
1654664817.4734743,1228479,204.16879272460938
1654664820.7577186,1228559,206.53387451171875
1654664824.4641798,1228639,205.68118286132812
1654664828.1412587,1228719,203.80274963378906
1654664831.7026198,1228799,205.44781494140625
1654664835.3292277,1228879,202.43185424804688
1654664838.9382362,1228959,204.78761291503906
1654664842.5268877,1229039,201.3053741455078
1654664846.0910096,1229119,201.44723510742188
1654664849.7154467,1229199,202.17901611328125
1654664853.517714,1229279,202.05587768554688
1654664857.03572,1229359,203.0608673095703
1654664860.6523175,1229439,202.83998107910156
1654664864.2906084,1229519,200.23602294921875
1654664867.787123,1229599,203.3774871826172
1654664871.3024666,1229679,203.4582977294922
1654664874.8827333,1229759,203.64608764648438
1654664878.4826553,1229839,200.9354705810547
1654664882.0591447,1229919,202.27879333496094
1654664885.461775,1229999,206.03802490234375
1654664888.860703,1230079,202.46163940429688
1654664892.394036,1230159,204.28787231445312
1654664896.0625405,1230239,202.9291534423828
1654664899.6865716,1230319,205.50865173339844
1654664903.1393893,1230399,203.82032775878906
1654664906.6312497,1230479,202.83462524414062
1654664910.1843321,1230559,206.44390869140625
1654664913.9055972,1230639,203.80462646484375
1654664917.5975647,1230719,201.56216430664062
1654664921.13756,1230799,203.60348510742188
1654664924.7157376,1230879,205.06195068359375
1654664928.2944818,1230959,203.6954803466797
1654664931.7963285,1231039,203.2950897216797
1654664935.3707607,1231119,202.9272003173828
1654664938.9320912,1231199,206.3226318359375
1654664942.5215738,1231279,203.70355224609375
1654664946.1316175,1231359,202.47921752929688
1654664949.7905364,1231439,201.5956573486328
1654664953.400328,1231519,202.29078674316406
1654664957.0036316,1231599,205.9254913330078
1654664960.547968,1231679,202.83140563964844
1654664964.223003,1231759,204.84808349609375
1654664967.819618,1231839,203.06455993652344
1654664971.6223838,1231919,204.4190673828125
1654664975.1516967,1231999,199.8322296142578
1654664978.6760106,1232079,206.63478088378906
1654664982.323373,1232159,205.1053924560547
1654664985.8747525,1232239,202.08770751953125
1654664989.6178179,1232319,202.96192932128906
1654664993.3498044,1232399,203.97299194335938
1654664996.8979135,1232479,204.63536071777344
1654665000.5166724,1232559,204.89047241210938
1654665004.0830705,1232639,208.28916931152344
1654665007.6804407,1232719,202.87049865722656
1654665011.2526217,1232799,204.68280029296875
1654665014.8719323,1232879,205.98760986328125
